population,location,number,ID,ramet,block,pair,temp,no_tubes,tubes,mean_length,median_length,sd_length,time
Oil Patch,South,5,OP5,A,,,10,2384,144,0.028817341,0.027708935,0.01075854,16
Oil Patch,South,5,OP5,A,,,20,45,395,0.221688073,0.167320721,0.165704633,16
Oil Patch,South,5,OP5,A,,,25,36,292,0.274281208,0.237716636,0.165136704,16
Oil Patch,South,5,OP5,A,,,30,28,200,0.29557081,0.269143669,0.186905186,16
Oil Patch,South,5,OP5,A,,,40,203,214,0.03218696,0.02657474,0.01928377,16
Prairie Island,North,28,PI28,A,,,10,1195,111,0.011429214,0.010411988,0.012600937,16
Prairie Island,North,28,PI28,A,,,20,67,166,0.075760365,0.04061186,0.118835202,16
Prairie Island,North,28,PI28,A,,,25,80,269,0.173118965,0.11980338,0.154950451,16
Prairie Island,North,28,PI28,A,,,30,56,236,0.198478545,0.126340472,0.175723741,16
Prairie Island,North,28,PI28,A,,,40,104,176,0.06062391,0.054957306,0.038004031,16
Front,North,10,FR10,A,,,10,540,53,0.02158873,0.020421707,0.007963719,16
Front,North,10,FR10,A,,,20,182,108,0.029465203,0.024150266,0.019619659,16
Front,North,10,FR10,A,,,25,23,133,0.147619488,0.094595563,0.176521215,16
Front,North,10,FR10,A,,,30,12,158,0.302828373,0.195452963,0.262766804,16
Front,North,10,FR10,A,,,40,115,109,0.029683224,0.022712526,0.018918486,16
Oil Patch,South,9,OP9,A,,,10,1499,99,0.021572501,0.020026386,0.007476313,16
Oil Patch,South,9,OP9,A,,,20,346,139,0.028541246,0.024663411,0.014486219,16
Oil Patch,South,9,OP9,A,,,25,34,192,0.269450641,0.182348228,0.230899192,16
Oil Patch,South,9,OP9,A,,,30,91,212,0.153210036,0.073197707,0.175054849,16
