population,location,number,ID,ramet,block,pair,mass_T,mass_C
Cemetary,South,8,CE8,C,11,53,0.053,0.052
Prairie Island,North,4,PI4,C,11,53,0.042,0.041
Cemetary,South,6,CE6,C,11,54,0.048,0.051
Prairie Island,North,3,PI3,C,11,54,0.058,0.056
Oil Patch,South,4,OP4,C,11,55,0.031,0.033
Prairie Island,North,25,PI25,C,11,55,0.038,0.037
Cemetary,South,10,CE10,C,11,56,0.052,0.05
Prairie Island,North,15,PI15,C,11,56,0.036,0.038
Cemetary,South,7a,CE7a,C,11,57,0.062,0.051
Prairie Island,North,13,PI13,C,11,57,0.05,0.043
Prairie Island,North,12,PI12,C,12,58,0.051,0.05
Cemetary,South,9,CE9,C,12,58,0.051,0.049
Prairie Island,North,14,PI14,C,12,59,0.049,0.049
Cemetary,South,2,CE2,C,12,59,0.051,0.052
Prairie Island,North,11,PI11,C,12,60,0.049,0.049
Oil Patch,South,5,OP5,C,12,60,0.04,0.043
Oil Patch,South,1,OP1,C,12,61,0.045,0.044
Prairie Island,North,1,PI1,C,12,61,0.045,0.045
Prairie Island,North,10,PI10,C,12,62,0.051,0.052
Reserve,South,5,RE5,C,12,62,0.055,0.052
Frontenac,North,10,FR10,C,13,63,0.069,0.069
Oil Patch,South,6,OP6,C,13,63,0.059,0.056
Oil Patch,South,9,OP9,C,13,64,0.04,0.039
Frontenac,North,12,FR12,C,13,64,0.06,0.058
Prairie Island,North,30,PI30,C,13,65,0.054,0.05
Cemetary,South,7b,CE7b,C,13,65,0.05,0.052
Prairie Island,North,21,PI21,C,13,66,0.048,0.048
Parking Lot,South,4,PL4,C,13,66,0.054,0.058
Prairie Island,North,27,PI27,C,13,67,0.045,0.04
Cemetary,South,3,CE3,C,13,67,0.047,0.046
Frontenac,North,11,FR11,C,14,68,0.058,0.061
Oil Patch,South,7,OP7,C,14,68,0.062,0.059
Prairie Island,North,28,PI28,C,14,69,0.063,0.057
Oil Patch,South,2,OP2,C,14,69,0.055,0.051
Oil Patch,South,8,OP8,C,14,70,0.049,0.045
Frontenac,North,2,FR2,C,14,70,0.053,0.053
Prairie Island,North,18,PI18,C,14,71,0.048,0.048
Cemetary,South,11,CE11,C,14,71,0.048,0.047
Prairie Island,North,19,PI19,D,15,73,0.043,0.044
Reserve,South,3,RE3,D,15,73,0.053,0.053
Prairie Island,North,9,PI9,C,15,74,0.055,0.054
Cemetary,South,1,CE1,C,15,74,0.046,0.04
Cemetary,South,4,CE4,C,15,75,0.068,0.068
Frontenac,North,1,FR1,C,15,75,0.054,0.054
Prairie Island,North,5,PI5,C,15,76,0.056,0.057
Parking Lot,South,5,PL5,C,15,76,0.049,0.046
Prairie Island,North,2,PI2,C,15,77,0.06,0.058
Parking Lot,South,2,PL2,C,15,77,0.066,0.064
Frontenac,North,6,FR6,C,15,78,0.058,0.058
Oil Patch,South,3,OP3,C,15,78,0.049,0.049
Prairie Island,North,30,PI30,D,16,79,0.053,0.049
Cemetary,South,2,CE2,D,16,79,0.054,0.053
Cemetary,South,6,CE6,D,16,80,0.059,0.058
Prairie Island,North,25,PI25,D,16,80,0.054,0.05
Prairie Island,North,28,PI28,D,16,82,0.045,0.044
Oil Patch,South,3,OP3,D,16,82,0.044,0.045
Cemetary,South,8,CE8,D,16,83,0.05,0.048
Frontenac,North,2,FR2,D,16,83,0.051,0.041
Oil Patch,South,8,OP8,D,17,84,,
Prairie Island,North,11,PI11,D,17,84,,
Oil Patch,South,9,OP9,D,17,85,,
Prairie Island,North,19,PI19,D,17,85,,
Parking Lot,South,5,PL5,D,17,86,,
Prairie Island,North,15,PI15,D,17,86,,
Prairie Island,North,21,PI21,D,17,87,,
Cemetary,South,11,CE11,D,17,87,,
Prairie Island,North,4,PI4,D,17,88,,
Reserve,South,3,RE3,D,17,88,,
Reserve,South,5,RE5,D,18,89,,
Prairie Island,North,3,PI3,D,18,89,,
Prairie Island,North,1,PI1,D,18,90,,
Oil Patch,South,4,OP4,D,18,90,,
Cemetary,South,10,CE10,D,18,91,,
Prairie Island,North,9,PI9,D,18,91,,
Prairie Island,North,12,PI12,D,18,92,,
Cemetary,South,7b,CE7b,D,18,92,,
Oil Patch,South,5,OP5,D,18,93,,
Frontenac,North,8,FR8,D,18,93,,
Reserve,South,5,RE5,D,18,89,,
Prairie Island,North,3,PI3,D,18,89,,
Prairie Island,North,1,PI1,D,18,90,,
Oil Patch,South,4,OP4,D,18,90,,
Cemetary,South,10,CE10,D,18,91,,
Prairie Island,North,9,PI9,D,18,91,,
Prairie Island,North,12,PI12,D,18,92,,
Cemetary,South,7b,CE7b,D,18,92,,
Oil Patch,South,5,OP5,D,18,93,,
Frontenac,North,8,FR8,D,18,93,,
